3700,3526,11
2832,1914,16
1914,909,3
3649,3,7
3,4611,9
2078,3449,8
3449,2856,27
2856,2258,47
2258,1526,4
1526,2832,73
2703,916,30
916,4620,6
4395,2986,77
3449,2184,2
3966,909,2
909,2143,19
2143,4761,6
4761,978,9
4611,1200,15
3110,2929,3
671,2829,36
2703,4395,44
4395,2929,4
2929,2829,59
2856,2832,43
3449,2425,4
4268,2275,1
2275,3526,65
361,1965,13
615,194,2
2832,4073,6
2832,2986,115
3526,2275,8
2275,2986,1
2986,184,15
184,4956,5
4956,2832,88
2832,615,7
2184,4226,1
3718,1840,2
1840,2986,21
2986,3035,19
3035,2751,27
2143,3491,5
1627,1226,9
2703,2308,18
2308,2300,10
2832,3035,4
2590,634,41
634,291,36
291,1235,14
1235,2929,4
2385,4611,2
4611,2856,43
2856,2300,24
2832,3,11
3,3139,12
3139,753,1
3054,2856,4
2856,2143,33
4268,3491,14
2986,3,5
2703,2929,5
2832,2757,23
2757,3235,3
3235,899,5
3449,3054,2
3054,1849,6
1849,3649,13
3649,1737,2
184,2143,15
2143,3475,4
3475,184,1
2264,4738,7
4738,1840,39
1737,2703,16
2703,1449,9
3526,2757,9
2757,2829,1
2829,2751,125
2751,437,8
437,2986,84
2203,3127,63
1631,4073,7
4073,3110,12
2143,2732,2
990,1837,3
1837,1985,15
1985,2929,31
1082,4732,6
4732,4205,5
4205,3526,14
2275,2258,1
2258,2929,7
4773,1737,1
3751,2986,12
1345,4241,16
4241,3763,1
3763,3139,1
3139,3,9
3,3414,1
437,3175,23
3491,3526,2
3526,4620,95
4620,2829,37
4911,437,61
4620,2027,1
2012,2751,1
2751,2829,6
2829,2618,13
2618,2832,4
286,4395,6
4395,1526,3
2832,1849,24
2703,4483,9
4611,1381,3
3449,2258,79
2703,612,1
4596,3139,1
3139,2829,17
2829,3,37
2358,2829,46
2832,421,1
421,2013,1
2013,4596,3
4596,1563,12
1563,2066,1
4611,286,38
286,184,2
3449,4611,32
2385,2832,2
273,4964,2
4964,2786,2
